日付,Prefecture,都道府県,性別,年代,前職種,エントリー数,面談実施数
2025-05-01,Aichi,愛知県,女性,20歳代,IT・技術職,1,0
2025-05-01,Aichi,愛知県,女性,20歳代,一般事務,2,0
2025-05-01,Aichi,愛知県,女性,20歳代,医療・福祉,4,3
2025-05-01,Aichi,愛知県,女性,20歳代,営業,4,0
2025-05-01,Aichi,愛知県,女性,20歳代,管理職,1,1
2025-05-01,Aichi,愛知県,女性,20歳代,製造・技能職,1,0
2025-05-01,Aichi,愛知県,女性,30歳代,IT・技術職,1,1
2025-05-01,Aichi,愛知県,女性,30歳代,一般事務,2,1
2025-05-01,Aichi,愛知県,女性,30歳代,営業,3,0
2025-05-01,Aichi,愛知県,女性,30歳代,営業事務,1,1
2025-05-01,Aichi,愛知県,女性,30歳代,士業,1,0
2025-05-01,Aichi,愛知県,女性,30歳代,管理職,1,1
2025-05-01,Aichi,愛知県,女性,30歳代,販売・サービス,1,1
2025-05-01,Aichi,愛知県,女性,40歳代,一般事務,4,3
2025-05-01,Aichi,愛知県,女性,40歳代,営業,3,1
2025-05-01,Aichi,愛知県,女性,40歳代,営業事務,1,1
2025-05-01,Aichi,愛知県,女性,40歳代,士業,1,1
2025-05-01,Aichi,愛知県,女性,40歳代,製造・技能職,4,1
2025-05-01,Aichi,愛知県,女性,40歳代,販売・サービス,1,0
2025-05-01,Aichi,愛知県,女性,50歳代,IT・技術職,2,1
2025-05-01,Aichi,愛知県,女性,50歳代,医療・福祉,1,1
2025-05-01,Aichi,愛知県,女性,50歳代,営業,2,0
2025-05-01,Aichi,愛知県,女性,50歳代,営業事務,1,0
2025-05-01,Aichi,愛知県,女性,50歳代,士業,1,0
2025-05-01,Aichi,愛知県,女性,50歳代,管理職,1,0
2025-05-01,Aichi,愛知県,女性,50歳代,製造・技能職,2,1
2025-05-01,Aichi,愛知県,女性,60歳代,IT・技術職,1,1
2025-05-01,Aichi,愛知県,女性,60歳代,一般事務,1,0
2025-05-01,Aichi,愛知県,女性,60歳代,営業,2,0
2025-05-01,Aichi,愛知県,女性,60歳代,製造・技能職,2,0
2025-05-01,Aichi,愛知県,女性,60歳代,販売・サービス,1,1
2025-05-01,Aichi,愛知県,男性,20歳代,IT・技術職,3,1
2025-05-01,Aichi,愛知県,男性,20歳代,一般事務,3,1
2025-05-01,Aichi,愛知県,男性,20歳代,医療・福祉,1,0
2025-05-01,Aichi,愛知県,男性,20歳代,営業,2,0
2025-05-01,Aichi,愛知県,男性,20歳代,営業事務,3,2
2025-05-01,Aichi,愛知県,男性,20歳代,管理職,1,0
2025-05-01,Aichi,愛知県,男性,20歳代,製造・技能職,2,2
2025-05-01,Aichi,愛知県,男性,20歳代,販売・サービス,1,1
2025-05-01,Aichi,愛知県,男性,30歳代,IT・技術職,3,1
2025-05-01,Aichi,愛知県,男性,30歳代,一般事務,1,1
2025-05-01,Aichi,愛知県,男性,30歳代,医療・福祉,3,1
2025-05-01,Aichi,愛知県,男性,30歳代,営業,2,2
2025-05-01,Aichi,愛知県,男性,30歳代,営業事務,1,1
2025-05-01,Aichi,愛知県,男性,30歳代,士業,1,1
2025-05-01,Aichi,愛知県,男性,30歳代,管理職,1,1
2025-05-01,Aichi,愛知県,男性,30歳代,製造・技能職,1,0
2025-05-01,Aichi,愛知県,男性,30歳代,販売・サービス,2,1
2025-05-01,Aichi,愛知県,男性,40歳代,IT・技術職,1,1
2025-05-01,Aichi,愛知県,男性,40歳代,一般事務,3,2
2025-05-01,Aichi,愛知県,男性,40歳代,医療・福祉,3,1
2025-05-01,Aichi,愛知県,男性,40歳代,営業,8,4
2025-05-01,Aichi,愛知県,男性,40歳代,営業事務,2,1
2025-05-01,Aichi,愛知県,男性,40歳代,士業,1,0
2025-05-01,Aichi,愛知県,男性,40歳代,管理職,2,1
2025-05-01,Aichi,愛知県,男性,40歳代,製造・技能職,2,2
2025-05-01,Aichi,愛知県,男性,40歳代,販売・サービス,4,2
2025-05-01,Aichi,愛知県,男性,50歳代,IT・技術職,1,0
2025-05-01,Aichi,愛知県,男性,50歳代,一般事務,2,1
2025-05-01,Aichi,愛知県,男性,50歳代,医療・福祉,1,0
2025-05-01,Aichi,愛知県,男性,50歳代,営業,1,0
2025-05-01,Aichi,愛知県,男性,50歳代,管理職,1,0
2025-05-01,Aichi,愛知県,男性,60歳代,営業,2,0
2025-05-01,Aichi,愛知県,男性,60歳代,営業事務,2,1
2025-05-01,Aichi,愛知県,男性,60歳代,管理職,1,0
2025-05-01,Aichi,愛知県,男性,60歳代,販売・サービス,1,0
2025-05-01,Akita,秋田県,女性,30歳代,IT・技術職,1,0
2025-05-01,Akita,秋田県,女性,30歳代,医療・福祉,1,1
2025-05-01,Akita,秋田県,女性,30歳代,士業,1,1
2025-05-01,Akita,秋田県,女性,40歳代,販売・サービス,1,0
2025-05-01,Akita,秋田県,女性,50歳代,営業,1,1
2025-05-01,Akita,秋田県,男性,40歳代,営業事務,1,1
2025-05-01,Akita,秋田県,男性,40歳代,管理職,1,1
2025-05-01,Aomori,青森県,女性,30歳代,販売・サービス,1,0
2025-05-01,Aomori,青森県,女性,50歳代,IT・技術職,1,0
2025-05-01,Aomori,青森県,女性,50歳代,医療・福祉,1,0
2025-05-01,Aomori,青森県,男性,30歳代,医療・福祉,1,1
2025-05-01,Aomori,青森県,男性,30歳代,営業事務,1,0
2025-05-01,Aomori,青森県,男性,30歳代,製造・技能職,1,1
2025-05-01,Aomori,青森県,男性,40歳代,IT・技術職,1,1
2025-05-01,Aomori,青森県,男性,40歳代,一般事務,1,0
2025-05-01,Aomori,青森県,男性,40歳代,管理職,1,1
2025-05-01,Aomori,青森県,男性,50歳代,IT・技術職,1,0
2025-05-01,Chiba,千葉県,女性,20歳代,IT・技術職,2,0
2025-05-01,Chiba,千葉県,女性,20歳代,一般事務,1,0
2025-05-01,Chiba,千葉県,女性,20歳代,営業,1,1
2025-05-01,Chiba,千葉県,女性,20歳代,製造・技能職,1,0
2025-05-01,Chiba,千葉県,女性,20歳代,販売・サービス,1,0
2025-05-01,Chiba,千葉県,女性,30歳代,IT・技術職,1,1
2025-05-01,Chiba,千葉県,女性,30歳代,一般事務,3,2
2025-05-01,Chiba,千葉県,女性,30歳代,営業,1,0
2025-05-01,Chiba,千葉県,女性,30歳代,販売・サービス,1,0
2025-05-01,Chiba,千葉県,女性,40歳代,医療・福祉,1,0
2025-05-01,Chiba,千葉県,女性,40歳代,営業,1,1
