jiscode,prefecture_kanji,prefecture_yomi,capital_loc,capital_loc_yomi,roman
1,北海道,ほっかいどう,札幌,さっぽろ,Hokkaido
2,青森県,あおもりけん,青森,あおもり,Aomori
3,岩手県,いわてけん,盛岡,もりおか,Iwate
4,宮城県,みやぎけん,仙台,せんだい,Miyagi
5,秋田県,あきたけん,秋田,あきた,Akita
6,山形県,やまがたけん,山形,やまがた,Yamagata
7,福島県,ふくしまけん,福島,ふくしま,Fukushima
8,茨城県,いばらきけん,水戸,みと,Ibaraki
9,栃木県,とちぎけん,宇都宮,うつのみや,Tochigi
10,群馬県,ぐんまけん,前橋,まえばし,Gunma
11,埼玉県,さいたまけん,さいたま,さいたま,Saitama
12,千葉県,ちばけん,千葉,ちば,Chiba
13,東京都,とうきょうと,東京,とうきょう,Tokyo
14,神奈川県,かながわけん,横浜,よこはま,Kanagawa
15,新潟県,にいがたけん,新潟,にいがた,Nigata
16,富山県,とやまけん,富山,とやま,Toyama
17,石川県,いしかわけん,金沢,かなざわ,Ishikawa
18,福井県,ふくいけん,福井,ふくい,Fukui
19,山梨県,やまなしけん,甲府,こうふ,Yamanashi
20,長野県,ながのけん,長野,ながの,Nagano
21,岐阜県,ぎふけん,岐阜,ぎふ,Gifu
22,静岡県,しずおかけん,静岡,しずおか,Shizuoka
23,愛知県,あいちけん,名古屋,なごや,Aichi
24,三重県,みえけん,津,つ,Mie
25,滋賀県,しがけん,大津,おおつ,Shiga
26,京都府,きょうとふ,京都,きょうと,Kyoto
27,大阪府,おおさかふ,大阪,おおさか,Osaka
28,兵庫県,ひょうごけん,神戸,こうべ,Hyogo
29,奈良県,ならけん,奈良,なら,Nara
30,和歌山県,わかやまけん,和歌山,わかやま,Wakayama
31,鳥取県,とっとりけん,鳥取,とっとり,Tottori
32,島根県,しまねけん,松江,まつえ,Shimane
33,岡山県,おかやまけん,岡山,おかやま,Okayama
34,広島県,ひろしまけん,広島,ひろしま,Hiroshima
35,山口県,やまぐちけん,山口,やまぐち,Yamaguchi
36,徳島県,とくしまけん,徳島,とくしま,Tokushima
37,香川県,かがわけん,高松,たかまつ,Kagawa
38,愛媛県,えひめけん,松山,まつやま,Ehime
39,高知県,こうちけん,高知,こうち,Kochi
40,福岡県,ふくおかけん,福岡,ふくおか,Fukuoka
41,佐賀県,さがけん,佐賀,さが,Saga
42,長崎県,ながさきけん,長崎,ながさき,Nagasaki
43,熊本県,くまもとけん,熊本,くまもと,Kumamoto
44,大分県,おおいたけん,大分,おおいた,Oita
45,宮崎県,みやざきけん,宮崎,みやざき,Miyazaki
46,鹿児島県,かごしまけん,鹿児島,かごしま,Kagoshima
47,沖縄県,おきなわけん,那覇,なは,Okinawa
